invoice_id,transaction_id,amount,date,merchant
inv_pay_0034,pay_0034,22833.17,2026-07-03,Harbor Books
inv_pay_0035,pay_0035,9473.06,2026-06-10,Harbor Books
inv_pay_0036,pay_0036,8239.07,2026-07-09,Pixel Studio
inv_pay_0037,pay_0037,1636.54,2026-06-16,Cloudline SaaS
inv_pay_0038,pay_0038,12252.56,2026-07-17,Northwind Traders
inv_pay_0039,pay_0039,16561.82,2026-06-09,Wren & Co
inv_pay_0040,pay_0040,21836.34,2026-07-04,Pixel Studio
inv_pay_0041,pay_0041,7930.56,2026-07-16,Zenith Fitness
inv_pay_0042,pay_0042,13035.88,2026-07-28,Cloudline SaaS
inv_pay_0043,pay_0043,721.65,2026-06-22,Zenith Fitness
inv_pay_0044,pay_0044,1960.63,2026-06-01,Marigold Textiles
inv_pay_0045,pay_0045,979.04,2026-07-28,Zenith Fitness
inv_pay_0046,pay_0046,16790.65,2026-06-18,Wren & Co
inv_pay_0047,pay_0047,19658.56,2026-06-16,Pixel Studio
inv_pay_0048,pay_0048,16542.77,2026-06-07,Zenith Fitness
inv_pay_0049,pay_0049,18281.08,2026-07-26,Terra Foods
inv_pay_0050,pay_0050,18259.7,2026-06-26,Northwind Traders
inv_pay_0051,pay_0051,4917.18,2026-06-13,Northwind Traders
inv_pay_0052,pay_0052,4750.5,2026-06-28,Nova Electronics
inv_pay_0053,pay_0053,23096.99,2026-07-26,Nova Electronics
inv_pay_0054,pay_0054,16373.19,2026-06-04,Nova Electronics
inv_pay_0055,pay_0055,23049.06,2026-06-06,Wren & Co
inv_pay_0056,pay_0056,21519.24,2026-06-14,Nova Electronics
inv_pay_0057,pay_0057,23356.01,2026-06-17,Blue Leaf Cafe
inv_pay_0058,pay_0058,4423.55,2026-06-10,Wren & Co
inv_pay_0059,pay_0059,7664.52,2026-07-18,Marigold Textiles
inv_pay_0060,pay_0060,23594.22,2026-06-04,Wren & Co
inv_pay_0066,pay_0066,23239.65,2026-06-21,Harbor Books
inv_pay_0067,pay_0067,15604.75,2026-06-30,Northwind Traders
inv_pay_0068,pay_0068,13533.33,2026-06-05,Marigold Textiles
inv_pay_0069,pay_0069,23344.83,2026-06-09,Wren & Co
inv_pay_0070,pay_0070,7267.69,2026-06-24,Northwind Traders
inv_pay_0071,pay_0071,24599.56,2026-07-10,Nova Electronics
inv_pay_0073,pay_0073,20464.18,2026-07-13,Wren & Co
inv_pay_0075,pay_0075,21977.55,2026-07-31,Harbor Books
inv_pay_0077,pay_0077,2854.49,2026-07-27,Harbor Books
inv_pay_0079,pay_0079,7187.56,2026-06-18,Wren & Co
inv_pay_0080,pay_0080,15929.1,2026-07-14,Cloudline SaaS
inv_pay_0081,pay_0081,22652.34,2026-06-17,Wren & Co
inv_pay_0082,pay_0082,7061.67,2026-07-24,Northwind Traders
inv_pay_0086,pay_0086,9356.56,2026-07-24,Pixel Studio
inv_pay_0087,pay_0087,7844.81,2026-06-03,Terra Foods
inv_pay_0088,pay_0088,17115.25,2026-06-14,Blue Leaf Cafe
inv_pay_0089,pay_0089,18760.71,2026-07-10,Cloudline SaaS
inv_pay_0090,pay_0090,10467.35,2026-07-27,Pixel Studio
inv_pay_0091,pay_0091,4136.36,2026-06-18,Terra Foods
